"addr","balance"
0x120e0b6a1d445b5a9263c7dec8d6ab3d3ae3e74b,146
0x2c40e48d80ade4de53b1224d14f38768cbaa5ea4,42
0x30a7c19bfa766e63ea4fd4bed151004088208df1,72
0x321f39123a366300a87d405553dafe40b3501bd7,97
0x757fa102cafd96bdf69543c19dfa533df0b7e1c1,127
0x79e51f430e033e237321305c91b720fea771170b,51
0x8a23cc2c7bb3c3eff77659ebf88b58027ba05518,119
0x900c7e1c98e00ab764273bdc91e0b533ca30aa6e,70
0xabb54daeb1dd627a40ed545ae46fc3edad5f6b73,107
0xc61b747c7048b97691c8a35d533096a4fb95f5eb,58
0xddb78a35af0295d78e2450103f15ddd88f4219f3,53
0xf06cdea372e2350e374c37f1ee0e1c44b8be6e2e,224551
0xfb5b9f788684af3905d0e5cc7b047b5eefecd83b,209
0x0b27376902a8e9c6959937ee670f8cd24e8a1f68,94
0x17cec64a481a315cccd1698094b99c033ab3a48b,43
0x208e747ab792dc50625e054f736ed1d1629e9596,102
0x22db5e5d03d8ba8887834e22a3dbcf8c8a8f40d4,44
0x4c422e1299aa96a8dd0ac7201130cf18fa6c33ce,143
0x6bb158a01a3f109e6916582ccb4cd0e9e67fb046,37
0x78b355670267e839d708ae470a1664697efe8d57,39
0x7bdb454ceda779183f68619bba0f60a7e3690f70,37
0xb7d91232221f5c031be8835977d9926d5023a60c,38
0xc566682291d9ccd316624494a3c4a4a5cd7a7ffe,35
0xd8c867be172724730373fec8e76613d1e5b5c3d8,38
0xdcb1796367248b6cf47c0d2f06e07791b0221d59,40
0xeb4e46519e0ae94a9fcab5971449af6c7097468d,66
0xef8d55c7ef821434dc7934924d04378d5b8f11c6,37
0x2b2c302a4ea1aa65af008a33619c369aad212e13,81
0x319f7b2f141ab49077e4798c5bf0c9db664d24de,105
0x3b5b754965b4f632c4484870cd185437c7652fbc,41
0x4645eed08f062ecc790e79cd77b5b7c8df531972,47
0x49024a6b2622ad79ff069d5d8ed7e5e4d21a3313,82
0x52db04dcd008de8ad5e18c93206241363fb4aa1b,36
0x537dad849530c26222931f4bb123bdf5d3a0cace,48
0x5b8f1845f9796c4fde592f0e4a127a59e1025989,72
0x613be4736ad09ef38e3db9f830e1501a66689614,111
0x7b1a7cf6a5033aca53e875f978ec3a8f1dbd7d18,83
0x958f5a639971aa94611f99888cf20c75c498504c,88
0xb56f0ef94fdca644c9021f68766df5a058cc6fe1,58
0xe1504aee9bc116516b52ec1d490b23ac07a7a657,37
0xede5a6526a3134da4b48cede3a7a04720abfefd4,78
0xfe7b30d9ef4ebceed595da8def6d06b2254ba6bd,141
0x08b7071f065617b918469899fcb76cd185159dc7,141
0x382e9cb1455dde7b41018739c069d80f047017aa,37
0x3b6fc54e75fc7a582c725f6c3f20d7678c7de513,45
0x44c4d524f81634646329e6af312e3c57be99c790,72
0x6f1d0c9fbee192f3f5996fdb641a3232a31b4e95,51
0x7568f6814b6435107b782c71a6aae67d28b2194a,75
0x75ab2b5cf21805f5ee3f679586dcd03019959c0c,122
0x80426b2ad5dc1d334a00bd7464e7486fa194ce7c,54
0x92491771740bef91545fbd9f4dba20c9fc1d0212,143
0xa38aeb2e0314ffaeaf080141fc0a5e67e4e7c905,45
0xbc8158f304bc1d64cb76369ef0b48c2205fc0184,36
0xbe0ab5e6663025d893e80190dcbe06efd8441114,96
0xd4233bd0260b40af402a8fa1f70a9495a082ee27,41
0xdd20fa1e969d4b1a66185d0fbb1c30889373f7e3,40
0xebeee81090f524c19f5aa5d3101089378b8476e7,148
0xf0f4d7ed5f001c3c96c5e4328f94ace26da74c20,68
